MobileNetV2 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      90.260000     99.945312     40.210000     83.195312     5.610000     16.906250     60.46s
INT_2     10.000000     9.765625     10.000000     9.765625     10.000000     9.765625     221.87s
INT_3     9.960000     9.765625     10.000000     9.765625     10.000000     9.765625     222.28s
INT_4     9.460000     11.250000     10.040000     10.023438     9.710000     9.429688     220.40s
INT_5     20.380000     43.203125     12.340000     19.960938     10.820000     16.460938     162.90s
INT_6     57.930000     94.695312     20.010000     53.164062     12.600000     34.671875     222.45s
INT_7     80.090000     99.617188     35.750000     70.015625     13.600000     35.195312     222.45s
INT_8     88.220000     99.953125     43.040000     82.398438     10.670000     32.046875     219.99s
INT_9     89.870000     99.937500     41.590000     82.585938     8.130000     23.070312     218.91s
INT_10     90.290000     99.937500     40.530000     83.265625     6.360000     18.984375     146.57s
INT_11     90.290000     99.937500     40.340000     83.453125     6.010000     17.742188     140.19s
INT_12     90.230000     99.945312     40.320000     83.054688     5.690000     17.085938     219.15s
INT_13     90.260000     99.945312     40.270000     83.265625     5.640000     16.968750     223.43s
INT_14     90.280000     99.945312     40.130000     83.226562     5.680000     16.960938     221.80s
INT_15     90.270000     99.945312     40.170000     83.171875     5.600000     16.835938     222.38s
INT_16     90.250000     99.945312     40.260000     83.156250     5.570000     16.945312     221.94s
POT_2     10.000000     9.765625     10.000000     9.765625     10.000000     9.765625     249.32s
POT_3     9.990000     8.921875     9.700000     9.781250     9.840000     9.765625     247.80s
POT_4     14.520000     23.109375     10.230000     10.882812     10.210000     11.210938     262.58s
POT_5     14.230000     22.585938     10.910000     12.890625     10.650000     11.679688     322.25s
POT_6     14.130000     22.289062     10.030000     9.781250     10.030000     9.359375     440.23s
POT_7     15.140000     26.625000     10.380000     12.796875     10.250000     9.718750     688.71s
POT_8     15.060000     24.000000     11.000000     14.476562     10.420000     10.421875     1181.86s
FLOAT_3_E1     9.660000     10.148438     10.060000     10.125000     10.000000     10.125000     249.52s
FLOAT_4_E1     11.660000     12.671875     13.910000     10.460938     12.840000     10.265625     263.09s
FLOAT_4_E2     14.050000     26.601562     11.760000     11.007812     10.650000     11.000000     262.63s
FLOAT_5_E1     20.310000     34.726562     12.360000     23.187500     11.220000     20.156250     324.11s
FLOAT_5_E2     26.860000     54.476562     14.650000     27.117188     11.540000     20.671875     322.74s
FLOAT_5_E3     45.920000     82.156250     20.140000     43.734375     13.010000     28.398438     321.91s
FLOAT_6_E1     28.220000     56.562500     11.900000     25.828125     10.270000     18.156250     441.12s
FLOAT_6_E2     45.760000     91.429688     23.430000     34.835938     13.510000     22.921875     429.02s
FLOAT_6_E3     69.700000     98.257812     36.610000     72.695312     14.170000     40.140625     416.46s
FLOAT_6_E4     47.240000     83.187500     18.660000     41.070312     11.350000     25.710938     416.64s
FLOAT_7_E1     33.610000     79.367188     13.020000     16.882812     9.480000     11.164062     672.43s
FLOAT_7_E2     59.640000     95.125000     23.150000     32.382812     10.840000     16.445312     690.92s
FLOAT_7_E3     85.470000     99.921875     37.040000     76.406250     10.220000     30.867188     688.60s
FLOAT_7_E4     68.700000     98.078125     37.060000     72.914062     14.400000     40.304688     688.90s
FLOAT_7_E5     46.970000     81.351562     22.650000     39.742188     13.130000     24.273438     669.48s
FLOAT_8_E1     41.330000     82.734375     13.990000     25.460938     10.790000     15.929688     1180.58s
FLOAT_8_E2     68.280000     98.757812     25.040000     42.312500     12.410000     19.406250     1182.82s
FLOAT_8_E3     89.170000     99.929688     41.030000     82.109375     8.950000     26.492188     1185.14s
FLOAT_8_E4     85.650000     99.945312     37.470000     74.156250     10.840000     28.179688     1184.22s
FLOAT_8_E5     68.250000     98.070312     36.270000     72.203125     14.450000     40.757812     1183.20s
FLOAT_8_E6     46.760000     81.242188     20.270000     39.390625     12.620000     24.437500     1184.79s
