ResNet_18 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      94.290000     99.289062     47.300000     34.210938     11.330000     11.250000     41.24s
INT_2     10.000000     9.843750     10.000000     9.843750     10.000000     9.843750     108.60s
INT_3     10.000000     10.367188     10.000000     10.367188     10.000000     10.367188     106.94s
INT_4     49.350000     43.656250     21.230000     24.343750     14.860000     19.093750     107.43s
INT_5     87.510000     87.703125     37.150000     24.773438     21.750000     16.882812     99.51s
INT_6     93.340000     97.195312     48.210000     37.070312     16.860000     17.500000     107.97s
INT_7     94.190000     98.945312     46.690000     35.640625     13.870000     13.476562     106.72s
INT_8     94.290000     99.281250     48.600000     34.148438     12.640000     11.593750     85.87s
INT_9     94.350000     99.289062     47.580000     34.789062     11.680000     11.710938     86.24s
INT_10     94.330000     99.289062     47.600000     34.101562     11.460000     11.476562     107.20s
INT_11     94.280000     99.296875     47.500000     34.539062     11.360000     11.414062     108.11s
INT_12     94.320000     99.289062     47.450000     34.242188     11.200000     11.367188     106.48s
INT_13     94.310000     99.296875     47.480000     34.203125     11.380000     11.359375     85.25s
INT_14     94.310000     99.289062     47.400000     34.210938     11.300000     11.328125     107.12s
INT_15     94.310000     99.289062     47.440000     34.203125     11.350000     11.320312     107.61s
INT_16     94.320000     99.289062     47.360000     34.234375     11.410000     11.343750     106.59s
POT_2     10.000000     9.843750     10.000000     9.843750     10.000000     9.843750     135.56s
POT_3     10.470000     9.625000     9.970000     10.296875     9.090000     9.421875     144.64s
POT_4     63.790000     60.929688     29.710000     10.273438     17.880000     9.765625     174.06s
POT_5     50.280000     27.320312     24.160000     9.640625     14.020000     9.632812     237.14s
POT_6     51.630000     27.789062     25.250000     9.640625     15.070000     9.632812     362.73s
POT_7     50.400000     29.148438     26.010000     9.648438     14.730000     9.640625     622.94s
POT_8     56.460000     30.960938     26.000000     9.726562     16.040000     9.640625     1135.80s
FLOAT_3_E1     12.940000     14.335938     11.260000     12.968750     11.970000     12.695312     142.78s
FLOAT_4_E1     47.700000     33.187500     23.870000     10.171875     17.930000     9.835938     172.74s
FLOAT_4_E2     52.180000     77.382812     16.630000     11.343750     10.320000     10.187500     172.64s
FLOAT_5_E1     81.930000     75.179688     37.550000     11.617188     18.790000     9.992188     236.15s
FLOAT_5_E2     85.650000     97.187500     35.290000     13.390625     13.680000     10.148438     238.49s
FLOAT_5_E3     89.390000     96.117188     44.090000     22.218750     17.680000     12.570312     237.10s
FLOAT_6_E1     87.460000     79.148438     42.480000     10.929688     17.770000     9.828125     363.60s
FLOAT_6_E2     91.500000     98.156250     42.080000     25.007812     12.960000     12.046875     362.77s
FLOAT_6_E3     93.420000     98.554688     46.350000     26.539062     14.760000     11.578125     362.86s
FLOAT_6_E4     89.700000     94.046875     42.630000     14.250000     17.640000     10.406250     363.59s
FLOAT_7_E1     90.090000     88.281250     42.040000     12.257812     15.330000     10.031250     624.15s
FLOAT_7_E2     92.520000     98.953125     44.500000     29.218750     12.720000     12.609375     622.39s
FLOAT_7_E3     94.090000     99.078125     48.010000     32.437500     13.020000     12.093750     624.57s
FLOAT_7_E4     93.190000     98.609375     47.840000     30.289062     14.810000     12.460938     624.36s
FLOAT_7_E5     89.370000     96.132812     44.090000     18.437500     19.050000     11.351562     623.93s
FLOAT_8_E1     90.370000     93.789062     41.420000     11.546875     14.860000     9.882812     1134.85s
FLOAT_8_E2     92.210000     98.875000     43.960000     20.562500     13.660000     11.000000     1136.18s
FLOAT_8_E3     94.230000     99.265625     47.060000     32.226562     12.060000     11.171875     1138.17s
FLOAT_8_E4     94.060000     99.070312     47.470000     31.781250     12.810000     11.843750     1137.50s
FLOAT_8_E5     93.280000     98.750000     46.850000     30.726562     14.590000     12.531250     1137.01s
FLOAT_8_E6     89.350000     95.234375     43.540000     21.351562     19.080000     12.265625     1136.39s
