Inception_BN cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      94.840000     100.000000     42.780000     68.640625     7.230000     12.726562     159.12s
INT_2     10.000000     9.695312     10.000000     9.695312     10.000000     9.695312     314.70s
INT_3     11.190000     10.789062     9.860000     11.015625     9.250000     10.351562     282.15s
INT_4     30.290000     56.968750     10.690000     22.523438     10.230000     23.835938     303.39s
INT_5     80.740000     99.078125     27.880000     52.000000     14.870000     33.976562     313.97s
INT_6     93.410000     100.000000     41.890000     58.882812     13.820000     27.445312     311.68s
INT_7     94.470000     100.000000     44.490000     65.687500     10.510000     18.789062     310.58s
INT_8     94.830000     100.000000     43.240000     68.648438     8.650000     14.890625     320.47s
INT_9     94.770000     100.000000     42.900000     68.359375     7.640000     13.453125     317.92s
INT_10     94.840000     100.000000     42.770000     68.109375     7.390000     12.953125     283.89s
INT_11     94.830000     100.000000     42.900000     68.460938     7.180000     12.898438     302.49s
INT_12     94.870000     100.000000     42.760000     68.335938     7.250000     12.843750     325.46s
INT_13     94.840000     100.000000     42.690000     68.390625     7.200000     12.882812     312.06s
INT_14     94.840000     100.000000     42.730000     68.492188     7.160000     12.843750     318.80s
INT_15     94.830000     100.000000     42.860000     68.414062     7.160000     12.882812     317.39s
INT_16     94.830000     100.000000     42.970000     68.460938     7.150000     12.804688     311.29s
POT_2     10.000000     9.695312     10.000000     9.695312     10.000000     9.695312     440.67s
POT_3     11.710000     11.796875     10.220000     10.632812     9.910000     10.257812     499.91s
POT_4     39.190000     86.203125     25.300000     39.031250     18.300000     24.617188     638.73s
POT_5     39.970000     58.414062     17.850000     15.835938     11.930000     10.156250     903.95s
POT_6     24.110000     39.843750     16.870000     13.609375     11.480000     9.406250     1419.10s
POT_7     38.160000     69.351562     18.800000     15.687500     13.000000     14.617188     2479.35s
POT_8     42.380000     71.687500     20.860000     19.179688     12.220000     11.484375     4553.80s
FLOAT_3_E1     10.070000     9.921875     10.000000     9.921875     10.010000     9.929688     498.83s
FLOAT_4_E1     17.330000     43.562500     22.010000     16.273438     13.050000     14.789062     638.79s
FLOAT_4_E2     54.070000     85.593750     16.550000     30.296875     10.690000     20.828125     639.04s
FLOAT_5_E1     59.350000     93.437500     28.440000     46.585938     15.050000     32.585938     903.64s
FLOAT_5_E2     85.420000     99.882812     32.640000     41.015625     16.570000     18.460938     903.75s
FLOAT_5_E3     86.560000     99.812500     37.710000     52.234375     15.170000     28.453125     904.53s
FLOAT_6_E1     76.170000     99.468750     31.270000     48.234375     12.900000     24.906250     1416.71s
FLOAT_6_E2     92.320000     99.984375     41.310000     66.632812     15.030000     29.210938     1417.22s
FLOAT_6_E3     93.410000     100.000000     42.730000     60.562500     10.920000     19.085938     1419.16s
FLOAT_6_E4     86.650000     99.968750     39.640000     62.695312     13.870000     33.812500     1420.92s
FLOAT_7_E1     78.420000     99.882812     31.710000     50.265625     11.920000     21.695312     2478.14s
FLOAT_7_E2     93.160000     99.992188     41.380000     59.921875     13.400000     17.835938     2478.68s
FLOAT_7_E3     94.420000     100.000000     43.700000     70.140625     9.330000     16.039062     2480.34s
FLOAT_7_E4     93.390000     100.000000     42.990000     65.554688     11.060000     21.835938     2480.62s
FLOAT_7_E5     88.260000     99.960938     38.530000     62.062500     13.230000     31.546875     2480.32s
FLOAT_8_E1     82.480000     99.859375     32.290000     51.734375     10.870000     20.750000     4552.20s
FLOAT_8_E2     93.720000     99.992188     41.040000     61.976562     11.850000     18.085938     4553.95s
FLOAT_8_E3     94.800000     100.000000     42.930000     68.507812     8.000000     13.492188     4557.31s
FLOAT_8_E4     94.500000     100.000000     43.290000     69.257812     9.050000     16.257812     4561.96s
FLOAT_8_E5     93.220000     100.000000     42.310000     60.828125     11.090000     19.515625     4561.87s
FLOAT_8_E6     87.720000     99.750000     37.610000     56.781250     14.090000     31.648438     4562.20s
