MobileNetV2 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      90.270000     96.546875     40.200000     35.757812     5.570000     6.156250     59.75s
INT_2     10.000000     9.984375     10.000000     9.984375     10.000000     9.984375     222.66s
INT_3     9.960000     9.976562     10.000000     9.984375     10.000000     9.984375     160.20s
INT_4     9.490000     9.203125     10.250000     9.671875     10.270000     9.500000     225.38s
INT_5     20.560000     23.906250     12.900000     18.679688     10.490000     16.226562     139.84s
INT_6     57.910000     77.890625     24.490000     24.210938     14.120000     16.656250     221.92s
INT_7     80.300000     92.078125     34.980000     27.851562     12.670000     12.906250     223.33s
INT_8     88.180000     96.367188     42.630000     38.640625     10.660000     11.578125     195.72s
INT_9     89.760000     96.507812     41.500000     34.898438     8.190000     8.093750     140.61s
INT_10     90.380000     96.632812     40.140000     35.218750     6.420000     6.648438     207.40s
INT_11     90.290000     96.687500     40.350000     35.882812     5.920000     6.546875     224.36s
INT_12     90.270000     96.546875     40.340000     35.804688     5.810000     6.273438     225.78s
INT_13     90.240000     96.523438     40.330000     35.765625     5.660000     6.210938     226.06s
INT_14     90.260000     96.570312     40.140000     35.781250     5.650000     6.203125     227.30s
INT_15     90.270000     96.554688     40.130000     35.804688     5.610000     6.140625     225.23s
INT_16     90.270000     96.546875     40.070000     35.828125     5.650000     6.132812     225.36s
POT_2     10.000000     9.984375     10.000000     9.984375     10.000000     9.984375     246.35s
POT_3     9.990000     9.742188     9.920000     9.960938     9.980000     10.000000     248.84s
POT_4     14.620000     16.445312     10.280000     14.242188     10.080000     12.476562     264.89s
POT_5     14.390000     16.210938     10.640000     10.695312     10.110000     10.101562     323.07s
POT_6     14.330000     16.226562     10.020000     10.273438     10.010000     10.023438     440.81s
POT_7     15.040000     16.296875     10.990000     12.671875     10.470000     11.875000     688.60s
POT_8     14.710000     17.390625     10.930000     12.164062     10.650000     9.796875     1177.88s
FLOAT_3_E1     9.660000     9.679688     10.130000     10.062500     10.010000     10.242188     242.49s
FLOAT_4_E1     11.660000     14.132812     11.660000     10.296875     10.800000     9.984375     243.27s
FLOAT_4_E2     13.230000     18.500000     10.690000     11.117188     9.960000     10.453125     259.99s
FLOAT_5_E1     17.160000     23.734375     10.960000     19.148438     10.510000     15.820312     319.46s
FLOAT_5_E2     26.760000     29.070312     13.800000     20.890625     11.360000     17.929688     319.64s
FLOAT_5_E3     46.320000     51.226562     27.030000     37.070312     14.800000     27.570312     319.72s
FLOAT_6_E1     28.010000     38.617188     11.700000     17.390625     10.540000     13.703125     439.14s
FLOAT_6_E2     45.820000     60.453125     20.650000     19.937500     13.530000     14.539062     439.23s
FLOAT_6_E3     69.910000     86.750000     37.250000     40.570312     13.300000     19.007812     438.94s
FLOAT_6_E4     46.590000     49.515625     27.500000     37.000000     15.760000     24.625000     438.82s
FLOAT_7_E1     33.850000     52.531250     12.790000     12.984375     9.410000     9.406250     686.43s
FLOAT_7_E2     59.400000     69.179688     19.810000     20.562500     10.270000     11.921875     687.33s
FLOAT_7_E3     85.620000     96.359375     39.120000     39.421875     10.830000     14.976562     687.57s
FLOAT_7_E4     68.900000     86.796875     36.800000     40.203125     13.200000     18.367188     678.10s
FLOAT_7_E5     47.350000     57.054688     24.290000     34.609375     13.030000     22.296875     687.02s
FLOAT_8_E1     41.420000     56.773438     11.560000     18.515625     9.930000     12.398438     1177.93s
FLOAT_8_E2     68.860000     77.484375     25.180000     24.289062     12.230000     14.562500     1180.02s
FLOAT_8_E3     89.220000     95.984375     39.840000     33.218750     8.650000     8.851562     1178.86s
FLOAT_8_E4     85.830000     96.351562     37.220000     39.687500     10.400000     14.828125     1159.26s
FLOAT_8_E5     68.490000     86.460938     36.810000     41.351562     13.380000     18.625000     1179.59s
FLOAT_8_E6     46.620000     51.703125     27.400000     33.859375     15.690000     23.250000     1180.15s
