ResNet_50 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      94.570000     100.000000     44.390000     65.625000     8.970000     19.703125     138.71s
INT_2     10.000000     10.164062     10.000000     10.164062     10.000000     10.164062     305.50s
INT_3     10.040000     10.367188     10.000000     10.718750     10.000000     10.718750     304.82s
INT_4     25.330000     28.195312     11.790000     10.859375     10.370000     10.203125     300.40s
INT_5     78.780000     92.242188     30.700000     48.140625     16.610000     26.820312     308.66s
INT_6     92.640000     99.960938     44.130000     73.976562     17.770000     37.281250     310.66s
INT_7     93.900000     100.000000     44.660000     67.875000     13.000000     26.000000     298.60s
INT_8     94.400000     100.000000     44.810000     68.007812     10.950000     24.609375     304.85s
INT_9     94.560000     100.000000     44.330000     65.468750     9.590000     20.859375     305.57s
INT_10     94.570000     100.000000     44.600000     65.640625     9.300000     20.140625     306.86s
INT_11     94.620000     100.000000     44.620000     65.859375     8.960000     19.859375     306.36s
INT_12     94.580000     100.000000     44.370000     65.796875     8.950000     19.859375     305.67s
INT_13     94.600000     100.000000     44.430000     65.695312     8.970000     19.757812     307.75s
INT_14     94.570000     100.000000     44.520000     65.734375     8.960000     19.757812     310.94s
INT_15     94.570000     100.000000     44.470000     65.718750     8.850000     19.625000     311.52s
INT_16     94.570000     100.000000     44.350000     65.703125     8.790000     19.781250     306.78s
POT_2     10.000000     10.164062     10.000000     10.164062     10.000000     10.164062     491.26s
POT_3     10.210000     6.953125     10.000000     10.718750     10.000000     10.718750     573.10s
POT_4     51.890000     88.445312     22.900000     43.234375     14.750000     30.734375     760.35s
POT_5     52.190000     86.539062     22.240000     44.101562     14.550000     31.585938     1130.96s
POT_6     53.810000     81.648438     21.670000     47.992188     14.490000     33.695312     1856.80s
POT_7     51.750000     88.367188     22.620000     42.367188     14.880000     30.828125     3339.35s
POT_8     45.850000     87.289062     21.850000     49.648438     14.950000     33.109375     6256.99s
FLOAT_3_E1     9.440000     15.992188     9.780000     10.171875     9.760000     10.164062     572.11s
FLOAT_4_E1     49.160000     74.429688     18.700000     35.523438     14.980000     29.375000     760.87s
FLOAT_4_E2     20.490000     59.890625     10.220000     25.601562     9.170000     21.929688     761.78s
FLOAT_5_E1     83.820000     99.187500     34.970000     45.562500     19.040000     30.539062     1131.80s
FLOAT_5_E2     62.080000     93.765625     19.390000     46.585938     12.170000     33.960938     1131.83s
FLOAT_5_E3     88.850000     99.937500     43.190000     69.312500     19.490000     33.539062     1131.91s
FLOAT_6_E1     87.320000     99.992188     38.180000     59.867188     17.360000     33.640625     1853.80s
FLOAT_6_E2     88.780000     99.851562     32.740000     65.289062     15.990000     40.726562     1855.07s
FLOAT_6_E3     92.970000     99.984375     44.740000     68.953125     14.530000     30.234375     1861.00s
FLOAT_6_E4     88.690000     99.875000     41.930000     69.843750     20.090000     38.140625     1863.06s
FLOAT_7_E1     90.680000     100.000000     41.040000     67.734375     15.620000     34.093750     3329.92s
FLOAT_7_E2     91.870000     99.968750     36.540000     65.257812     15.290000     36.851562     3338.02s
FLOAT_7_E3     94.150000     99.992188     44.800000     66.437500     11.960000     23.648438     3343.19s
FLOAT_7_E4     92.960000     99.984375     45.100000     69.039062     14.680000     30.703125     3348.61s
FLOAT_7_E5     89.080000     99.914062     43.060000     70.718750     19.540000     40.265625     3343.94s
FLOAT_8_E1     90.800000     100.000000     39.790000     63.656250     14.560000     29.757812     6249.40s
FLOAT_8_E2     92.520000     99.984375     37.430000     63.859375     14.220000     35.390625     6253.62s
FLOAT_8_E3     94.450000     100.000000     44.760000     66.234375     10.040000     21.382812     6266.04s
FLOAT_8_E4     94.160000     99.992188     44.750000     66.085938     11.760000     24.015625     6272.60s
