ResNet_18 cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      75.710000     100.000000     18.760000     72.828125     4.560000     10.000000     39.98s
INT_2     1.050000     0.945312     1.000000     0.937500     1.000000     0.937500     108.23s
INT_3     1.110000     0.867188     1.020000     0.921875     1.020000     0.875000     107.87s
INT_4     5.900000     16.656250     2.040000     4.437500     1.290000     2.882812     109.11s
INT_5     50.980000     95.843750     11.660000     35.929688     5.970000     19.601562     109.27s
INT_6     70.930000     99.984375     18.530000     66.718750     7.270000     21.929688     110.52s
INT_7     74.660000     100.000000     18.640000     64.945312     5.930000     14.546875     94.10s
INT_8     75.390000     100.000000     18.310000     70.742188     5.460000     15.234375     83.48s
INT_9     75.260000     100.000000     18.490000     71.507812     5.170000     14.789062     108.70s
INT_10     75.520000     100.000000     18.340000     71.601562     5.020000     14.210938     83.04s
INT_11     75.430000     100.000000     18.440000     71.828125     5.020000     14.226562     108.12s
INT_12     75.510000     100.000000     18.590000     72.148438     4.990000     13.664062     100.80s
INT_13     75.400000     100.000000     18.420000     71.726562     5.020000     14.226562     109.84s
INT_14     75.380000     100.000000     18.450000     71.773438     5.040000     14.382812     83.11s
INT_15     75.430000     100.000000     18.500000     71.929688     5.000000     13.882812     109.54s
INT_16     75.380000     100.000000     18.450000     71.656250     4.970000     14.437500     110.43s
POT_2     1.000000     0.945312     1.000000     0.937500     1.000000     0.937500     138.60s
POT_3     1.000000     0.835938     1.000000     0.898438     1.000000     0.898438     146.18s
POT_4     19.920000     48.257812     8.850000     7.062500     5.640000     3.335938     173.82s
POT_5     17.240000     39.210938     7.990000     7.992188     4.580000     4.210938     240.12s
POT_6     19.120000     35.273438     6.400000     2.781250     4.070000     1.914062     364.37s
POT_7     14.720000     29.867188     6.290000     4.171875     4.470000     2.195312     622.20s
POT_8     19.890000     38.992188     7.300000     7.117188     5.320000     4.195312     1130.36s
FLOAT_3_E1     0.970000     1.085938     1.110000     1.414062     1.010000     1.125000     147.99s
FLOAT_4_E1     25.700000     42.031250     5.890000     4.382812     4.190000     2.960938     174.74s
FLOAT_4_E2     15.940000     60.531250     3.250000     4.515625     1.750000     2.078125     174.63s
FLOAT_5_E1     53.130000     84.796875     12.260000     18.250000     6.120000     6.734375     239.48s
FLOAT_5_E2     54.070000     98.414062     8.830000     14.187500     4.170000     4.335938     239.34s
FLOAT_5_E3     58.650000     97.843750     14.950000     26.703125     6.030000     7.710938     239.21s
FLOAT_6_E1     59.740000     94.703125     13.890000     18.375000     5.730000     5.976562     364.47s
FLOAT_6_E2     64.360000     99.953125     12.680000     34.570312     5.280000     10.000000     364.26s
FLOAT_6_E3     71.590000     99.976562     18.040000     62.312500     6.110000     16.625000     365.80s
FLOAT_6_E4     58.800000     98.031250     15.630000     29.875000     6.180000     7.492188     364.48s
FLOAT_7_E1     64.470000     97.843750     15.270000     23.929688     6.300000     7.007812     621.05s
FLOAT_7_E2     68.790000     100.000000     14.380000     41.718750     5.640000     11.531250     621.55s
FLOAT_7_E3     74.420000     99.992188     18.410000     68.390625     5.680000     15.046875     622.55s
FLOAT_7_E4     71.500000     99.968750     18.340000     61.757812     6.290000     17.164062     621.68s
FLOAT_7_E5     57.540000     97.773438     15.370000     31.171875     6.180000     7.742188     621.93s
FLOAT_8_E1     65.260000     98.437500     15.400000     26.929688     6.140000     7.109375     1129.73s
FLOAT_8_E2     69.850000     99.984375     14.360000     45.687500     5.530000     12.242188     1130.44s
FLOAT_8_E3     75.240000     100.000000     18.220000     71.500000     5.250000     15.578125     1131.57s
FLOAT_8_E4     74.360000     100.000000     18.580000     68.710938     5.770000     15.070312     1132.24s
FLOAT_8_E5     71.630000     99.960938     18.180000     62.000000     5.980000     16.773438     1132.72s
FLOAT_8_E6     60.120000     97.835938     15.060000     26.562500     6.260000     7.117188     1131.97s
