ResNet_18 cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      75.710000     93.687500     18.760000     45.093750     4.570000     3.992188     39.12s
INT_2     1.050000     1.007812     1.000000     1.007812     1.000000     1.007812     107.65s
INT_3     1.110000     1.007812     1.000000     0.984375     1.000000     0.984375     108.99s
INT_4     5.900000     9.070312     1.090000     1.250000     0.900000     1.281250     83.34s
INT_5     50.980000     68.148438     11.570000     27.523438     5.570000     13.171875     109.11s
INT_6     70.930000     90.179688     18.100000     38.890625     6.940000     10.906250     107.55s
INT_7     74.660000     92.476562     17.800000     40.078125     5.480000     7.593750     108.09s
INT_8     75.390000     93.085938     18.520000     43.648438     5.270000     6.054688     107.82s
INT_9     75.260000     92.898438     18.590000     44.101562     5.170000     5.632812     107.63s
INT_10     75.520000     93.000000     18.680000     44.414062     5.060000     5.343750     108.56s
INT_11     75.430000     93.023438     18.480000     44.171875     5.010000     5.265625     108.60s
INT_12     75.510000     93.351562     18.530000     44.781250     4.920000     4.992188     107.05s
INT_13     75.400000     93.093750     18.480000     44.578125     5.020000     5.250000     109.86s
INT_14     75.380000     93.070312     18.530000     44.421875     4.980000     5.250000     89.74s
INT_15     75.430000     93.234375     18.530000     44.656250     5.020000     5.195312     107.04s
INT_16     75.380000     92.992188     18.530000     44.320312     5.010000     5.296875     107.90s
POT_2     1.000000     1.007812     1.000000     1.007812     1.000000     1.007812     131.51s
POT_3     1.000000     1.492188     1.000000     0.984375     1.000000     0.984375     141.68s
POT_4     19.920000     18.898438     4.550000     4.289062     3.750000     3.367188     171.54s
POT_5     17.240000     21.570312     5.110000     4.890625     3.670000     3.312500     237.89s
POT_6     19.120000     23.476562     5.370000     5.250000     4.000000     3.750000     362.76s
POT_7     14.720000     22.890625     6.800000     6.242188     4.340000     3.570312     621.20s
POT_8     19.890000     22.312500     5.330000     5.859375     3.520000     4.085938     1130.16s
FLOAT_3_E1     0.970000     1.062500     0.940000     0.953125     0.870000     0.906250     143.89s
FLOAT_4_E1     25.700000     11.687500     4.180000     3.515625     3.230000     2.828125     171.92s
FLOAT_4_E2     15.940000     29.468750     1.810000     3.195312     1.440000     2.507812     175.94s
FLOAT_5_E1     53.130000     49.656250     13.430000     24.179688     6.770000     11.726562     238.38s
FLOAT_5_E2     54.070000     75.671875     9.380000     12.953125     4.790000     3.789062     238.00s
FLOAT_5_E3     58.650000     77.054688     15.660000     25.515625     6.710000     9.593750     238.18s
FLOAT_6_E1     59.740000     65.023438     13.960000     20.656250     6.480000     9.593750     363.44s
FLOAT_6_E2     64.360000     86.031250     12.570000     26.250000     5.540000     8.218750     363.48s
FLOAT_6_E3     71.590000     90.023438     18.690000     35.148438     6.360000     5.570312     363.64s
FLOAT_6_E4     58.800000     78.101562     15.550000     24.921875     6.870000     9.304688     363.61s
FLOAT_7_E1     64.470000     72.093750     14.560000     24.882812     6.180000     10.921875     621.38s
FLOAT_7_E2     68.790000     88.257812     14.980000     32.039062     6.410000     9.187500     621.99s
FLOAT_7_E3     74.420000     92.218750     18.630000     42.023438     5.590000     7.132812     622.31s
FLOAT_7_E4     71.500000     90.007812     18.570000     35.000000     6.310000     5.734375     622.45s
FLOAT_7_E5     57.540000     77.640625     15.670000     25.695312     6.550000     8.968750     622.14s
FLOAT_8_E1     65.260000     74.156250     14.870000     27.648438     6.050000     11.460938     1130.47s
FLOAT_8_E2     69.850000     89.148438     15.310000     33.554688     6.270000     9.648438     1130.45s
FLOAT_8_E3     75.240000     92.890625     18.320000     44.125000     5.220000     5.742188     1131.85s
FLOAT_8_E4     74.360000     91.898438     18.570000     42.554688     5.590000     7.289062     1131.98s
FLOAT_8_E5     71.630000     89.632812     18.640000     35.046875     6.590000     5.664062     1131.69s
FLOAT_8_E6     60.120000     76.250000     15.710000     24.835938     6.410000     9.007812     1131.35s
