VGG_16 cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      71.120000     74.757812     23.680000     21.070312     6.390000     7.945312     28.71s
INT_2     1.000000     0.921875     1.000000     0.921875     1.000000     0.921875     72.79s
INT_3     0.990000     0.929688     1.000000     0.953125     1.000000     0.953125     72.65s
INT_4     14.950000     8.078125     4.410000     4.078125     2.990000     3.031250     73.32s
INT_5     54.950000     33.445312     14.540000     15.906250     7.340000     10.164062     72.54s
INT_6     69.380000     64.937500     21.000000     20.109375     7.190000     10.023438     72.85s
INT_7     70.660000     72.539062     24.310000     20.601562     7.540000     9.007812     73.13s
INT_8     71.010000     74.429688     23.970000     21.070312     6.750000     8.562500     72.78s
INT_9     71.060000     74.492188     23.810000     20.945312     6.470000     8.171875     72.88s
INT_10     71.110000     74.523438     23.770000     20.984375     6.440000     8.085938     72.99s
INT_11     71.150000     74.679688     23.640000     21.085938     6.400000     7.960938     72.68s
INT_12     71.150000     74.734375     23.690000     21.007812     6.420000     8.070312     73.20s
INT_13     71.120000     74.734375     23.760000     21.093750     6.420000     8.046875     72.87s
INT_14     71.140000     74.718750     23.610000     21.046875     6.370000     7.984375     72.80s
INT_15     71.120000     74.789062     23.700000     21.046875     6.420000     7.976562     73.13s
INT_16     71.120000     74.757812     23.700000     21.023438     6.360000     8.007812     73.30s
POT_2     1.000000     0.921875     1.000000     0.921875     1.000000     0.921875     113.07s
POT_3     1.200000     1.328125     1.040000     1.039062     1.210000     0.968750     113.22s
POT_4     29.670000     28.359375     10.130000     4.054688     5.330000     2.765625     124.62s
POT_5     29.300000     27.820312     10.010000     3.765625     5.140000     2.515625     158.91s
POT_6     29.590000     28.000000     10.120000     3.773438     5.300000     2.671875     231.04s
POT_7     29.200000     27.789062     10.150000     3.804688     5.280000     2.593750     382.51s
POT_8     29.420000     27.156250     10.180000     3.781250     5.320000     2.500000     683.47s
FLOAT_3_E1     1.350000     1.226562     1.280000     0.804688     1.300000     0.914062     114.22s
FLOAT_4_E1     19.850000     11.632812     6.520000     3.906250     3.940000     2.992188     124.93s
FLOAT_4_E2     41.260000     20.109375     9.160000     9.773438     5.380000     7.257812     124.81s
FLOAT_5_E1     51.850000     33.054688     13.640000     6.875000     5.970000     4.257812     158.98s
FLOAT_5_E2     63.260000     42.367188     21.310000     15.984375     9.910000     9.429688     158.71s
FLOAT_5_E3     61.820000     59.562500     20.840000     15.406250     7.520000     9.101562     158.82s
FLOAT_6_E1     58.080000     41.703125     16.590000     8.742188     6.310000     4.867188     230.93s
FLOAT_6_E2     68.060000     61.140625     22.810000     19.039062     8.550000     9.921875     231.18s
FLOAT_6_E3     69.180000     67.476562     23.990000     19.578125     7.410000     8.460938     231.25s
FLOAT_6_E4     61.470000     59.851562     20.790000     15.484375     7.600000     8.562500     231.31s
FLOAT_7_E1     61.210000     47.265625     17.360000     10.195312     6.210000     5.171875     381.74s
FLOAT_7_E2     68.430000     63.726562     23.200000     19.171875     8.130000     9.445312     381.62s
FLOAT_7_E3     70.730000     74.570312     23.990000     21.585938     6.800000     8.718750     382.08s
FLOAT_7_E4     69.080000     67.484375     23.700000     19.492188     7.410000     8.570312     382.22s
FLOAT_7_E5     61.500000     59.867188     20.750000     15.351562     7.530000     8.632812     382.32s
FLOAT_8_E1     62.530000     50.742188     18.070000     11.070312     6.160000     5.218750     681.46s
FLOAT_8_E2     69.270000     65.140625     23.260000     19.148438     7.800000     9.078125     681.67s
FLOAT_8_E3     71.170000     74.101562     23.700000     21.226562     6.500000     8.257812     682.69s
FLOAT_8_E4     70.720000     74.617188     23.820000     21.523438     6.770000     8.757812     683.04s
FLOAT_8_E5     68.880000     67.375000     23.760000     19.554688     7.320000     8.554688     683.31s
FLOAT_8_E6     61.550000     59.523438     20.780000     15.632812     7.490000     8.796875     683.54s
