AlexNet_BN cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      66.310000     99.984375     21.330000     40.921875     6.780000     5.437500     14.75s
INT_2     1.000000     1.085938     1.000000     1.085938     1.000000     1.085938     34.36s
INT_3     1.220000     1.539062     1.000000     1.164062     1.000000     1.164062     34.29s
INT_4     9.130000     11.039062     2.570000     3.039062     2.210000     1.937500     34.05s
INT_5     40.130000     88.500000     9.310000     14.859375     6.710000     9.703125     34.63s
INT_6     61.870000     99.875000     18.370000     32.273438     10.210000     12.328125     34.30s
INT_7     65.940000     99.968750     21.980000     39.421875     9.490000     9.664062     34.13s
INT_8     66.210000     99.984375     21.260000     40.429688     7.760000     7.078125     34.20s
INT_9     66.440000     99.984375     21.350000     40.125000     7.170000     5.984375     33.69s
INT_10     66.310000     99.992188     21.240000     40.632812     6.890000     5.585938     34.32s
INT_11     66.410000     99.984375     21.420000     41.054688     6.890000     5.546875     33.94s
INT_12     66.390000     99.984375     21.350000     41.023438     6.800000     5.523438     34.06s
INT_13     66.350000     99.984375     21.430000     40.921875     6.800000     5.507812     34.01s
INT_14     66.300000     99.984375     21.350000     40.968750     6.770000     5.476562     34.17s
INT_15     66.310000     99.984375     21.310000     40.937500     6.740000     5.492188     34.34s
INT_16     66.320000     99.984375     21.300000     40.976562     6.790000     5.515625     34.04s
POT_2     1.000000     1.085938     1.000000     1.085938     1.000000     1.085938     49.13s
POT_3     1.680000     1.554688     1.630000     1.921875     1.690000     1.960938     47.92s
POT_4     26.770000     53.875000     8.560000     7.148438     4.640000     3.195312     49.07s
POT_5     26.920000     53.398438     8.680000     6.656250     4.440000     2.812500     55.68s
POT_6     26.480000     53.500000     8.890000     6.679688     4.750000     2.992188     70.93s
POT_7     26.570000     53.171875     8.680000     6.835938     4.730000     3.140625     103.86s
POT_8     26.470000     52.820312     8.660000     6.820312     4.780000     3.046875     169.75s
FLOAT_3_E1     2.050000     1.843750     1.510000     0.882812     1.200000     0.750000     48.35s
FLOAT_4_E1     15.020000     25.289062     3.860000     2.828125     2.590000     1.382812     49.82s
FLOAT_4_E2     23.470000     34.914062     4.720000     3.875000     3.440000     2.515625     49.33s
FLOAT_5_E1     36.740000     74.625000     7.990000     7.687500     4.210000     1.742188     55.84s
FLOAT_5_E2     51.740000     93.968750     12.500000     13.484375     6.840000     5.031250     55.69s
FLOAT_5_E3     53.530000     94.929688     17.130000     24.210938     7.780000     6.187500     55.99s
FLOAT_6_E1     45.170000     86.882812     9.900000     10.179688     4.470000     1.679688     71.40s
FLOAT_6_E2     59.520000     99.117188     16.690000     22.085938     7.510000     6.171875     71.22s
FLOAT_6_E3     63.110000     99.890625     19.040000     36.781250     6.920000     6.875000     70.96s
FLOAT_6_E4     53.760000     95.234375     17.570000     24.359375     8.080000     6.148438     71.02s
FLOAT_7_E1     53.170000     94.429688     12.320000     15.546875     4.660000     1.929688     104.08s
FLOAT_7_E2     63.210000     99.835938     19.080000     29.445312     7.850000     7.742188     104.24s
FLOAT_7_E3     65.220000     99.929688     20.140000     38.171875     6.810000     5.562500     104.14s
FLOAT_7_E4     63.530000     99.875000     19.050000     36.492188     6.920000     6.945312     103.90s
FLOAT_7_E5     53.790000     94.773438     17.580000     24.757812     7.930000     6.117188     104.08s
FLOAT_8_E1     53.650000     95.359375     12.550000     15.468750     4.520000     1.671875     169.52s
FLOAT_8_E2     63.580000     99.937500     19.730000     31.187500     7.930000     7.406250     169.34s
FLOAT_8_E3     66.500000     99.984375     21.490000     40.960938     6.980000     5.695312     169.49s
FLOAT_8_E4     65.360000     99.929688     20.050000     38.093750     6.820000     5.375000     169.84s
FLOAT_8_E5     63.290000     99.828125     19.060000     36.742188     7.060000     6.960938     169.50s
FLOAT_8_E6     53.480000     95.312500     17.010000     24.546875     8.090000     6.132812     169.50s
