ResNet_152 cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      77.430000     78.593750     22.490000     33.421875     5.210000     7.031250     327.59s
INT_2     1.000000     0.960938     1.000000     0.960938     1.000000     0.960938     826.23s
INT_3     1.290000     1.140625     1.090000     0.984375     1.000000     0.984375     828.20s
INT_4     2.650000     3.234375     1.320000     1.039062     1.280000     1.007812     847.75s
INT_5     29.980000     5.828125     3.280000     3.093750     2.060000     1.710938     846.54s
INT_6     62.420000     17.296875     7.070000     12.273438     3.470000     9.789062     846.03s
INT_7     74.730000     54.218750     16.090000     17.710938     5.780000     3.039062     837.28s
INT_8     77.070000     75.304688     20.220000     28.515625     5.620000     6.171875     836.56s
INT_9     77.340000     77.843750     21.680000     30.812500     5.460000     6.242188     835.78s
INT_10     77.310000     78.750000     22.430000     33.453125     5.440000     7.437500     833.38s
INT_11     77.470000     78.640625     22.280000     33.289062     5.270000     7.343750     828.87s
INT_12     77.440000     78.625000     22.340000     33.218750     5.290000     6.898438     833.67s
INT_13     77.440000     78.671875     22.360000     33.273438     5.350000     6.960938     772.10s
INT_14     77.430000     78.695312     22.320000     33.210938     5.210000     6.867188     831.54s
INT_15     77.430000     78.671875     22.370000     33.242188     5.330000     6.976562     832.05s
INT_16     77.450000     78.703125     22.410000     33.265625     5.200000     6.953125     829.97s
POT_2     1.000000     0.960938     1.000000     0.960938     1.000000     0.960938     1170.30s
POT_3     1.480000     0.968750     1.110000     0.695312     1.100000     0.687500     1352.45s
POT_4     6.250000     8.578125     1.770000     1.195312     1.450000     1.445312     1759.18s
POT_5     7.100000     7.914062     1.210000     2.015625     1.220000     1.570312     2560.07s
POT_6     7.890000     8.289062     2.030000     1.875000     1.630000     1.523438     4141.17s
POT_7     7.770000     8.398438     1.380000     1.773438     1.210000     1.664062     7387.50s
POT_8     6.340000     7.453125     1.460000     0.898438     1.260000     0.718750     13780.70s
FLOAT_3_E1     1.000000     0.921875     1.000000     0.921875     1.000000     0.921875     1355.99s
FLOAT_4_E1     2.300000     3.140625     2.120000     1.609375     1.570000     0.882812     1756.50s
FLOAT_4_E2     6.320000     6.195312     1.160000     1.015625     1.100000     0.726562     1759.71s
FLOAT_5_E1     29.670000     14.726562     5.820000     7.226562     3.370000     5.921875     2564.15s
FLOAT_5_E2     38.430000     12.304688     6.640000     5.445312     4.350000     3.210938     2567.52s
FLOAT_5_E3     53.700000     30.679688     12.470000     14.234375     6.680000     7.039062     2565.11s
FLOAT_6_E1     40.080000     43.195312     13.140000     12.992188     6.580000     3.351562     4122.90s
FLOAT_6_E2     54.500000     20.273438     8.840000     10.125000     5.110000     6.390625     4127.76s
FLOAT_6_E3     68.520000     50.304688     17.360000     17.414062     6.360000     7.507812     4234.30s
FLOAT_6_E4     51.890000     30.210938     12.090000     12.742188     5.910000     5.859375     4344.37s
FLOAT_7_E1     52.400000     52.515625     17.510000     20.609375     7.610000     6.023438     7537.79s
FLOAT_7_E2     63.160000     29.281250     11.970000     10.789062     6.450000     6.226562     7542.93s
FLOAT_7_E3     74.540000     67.046875     20.180000     24.460938     5.900000     7.187500     7568.45s
FLOAT_7_E4     68.900000     51.765625     17.760000     17.554688     6.340000     7.679688     7515.06s
