AlexNet cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      63.440000     65.085938     21.880000     53.726562     7.780000     6.750000     11.74s
INT_2     1.000000     1.117188     1.000000     1.117188     1.000000     1.117188     27.84s
INT_3     0.990000     1.617188     1.000000     1.117188     1.000000     1.117188     26.97s
INT_4     15.960000     13.429688     2.150000     5.250000     1.950000     3.898438     26.33s
INT_5     46.760000     41.375000     12.910000     19.679688     10.130000     15.937500     28.36s
INT_6     58.120000     52.554688     20.180000     34.640625     14.300000     21.882812     27.00s
INT_7     61.680000     62.054688     20.950000     48.343750     12.120000     19.984375     28.09s
INT_8     62.860000     63.796875     21.960000     52.765625     9.900000     12.734375     26.50s
INT_9     63.160000     64.968750     22.310000     53.367188     8.730000     8.929688     27.37s
INT_10     63.360000     65.257812     22.080000     53.898438     8.100000     7.562500     27.15s
INT_11     63.360000     65.171875     22.110000     53.945312     7.850000     7.023438     19.82s
INT_12     63.380000     65.031250     21.970000     53.968750     7.810000     6.812500     19.99s
INT_13     63.440000     65.078125     21.940000     53.796875     7.700000     6.804688     20.00s
INT_14     63.430000     65.109375     21.990000     53.773438     7.790000     6.703125     20.63s
INT_15     63.450000     65.085938     21.990000     53.875000     7.690000     6.742188     26.09s
INT_16     63.440000     65.078125     21.930000     53.867188     7.780000     6.757812     21.59s
POT_2     1.000000     1.117188     1.000000     1.117188     1.000000     1.117188     34.29s
POT_3     1.330000     1.867188     1.000000     1.117188     1.010000     1.117188     33.87s
POT_4     24.460000     22.007812     7.210000     10.718750     4.300000     6.515625     36.45s
POT_5     25.240000     22.671875     7.050000     10.796875     3.840000     6.242188     44.86s
POT_6     24.910000     22.703125     7.180000     10.828125     4.120000     6.039062     60.63s
POT_7     24.810000     22.890625     7.230000     10.343750     3.880000     5.843750     93.70s
POT_8     25.050000     22.703125     7.250000     10.804688     4.200000     5.750000     161.10s
FLOAT_3_E1     1.960000     1.804688     1.080000     1.242188     0.940000     1.046875     31.65s
FLOAT_4_E1     15.090000     10.781250     6.570000     4.320312     4.950000     2.320312     36.09s
FLOAT_4_E2     18.310000     11.234375     5.040000     3.187500     4.150000     2.835938     35.86s
FLOAT_5_E1     38.590000     29.585938     14.290000     9.679688     9.840000     3.085938     43.92s
FLOAT_5_E2     44.250000     34.046875     13.530000     16.093750     9.150000     8.578125     42.90s
FLOAT_5_E3     50.410000     40.867188     16.250000     33.500000     7.950000     13.453125     44.50s
FLOAT_6_E1     48.020000     38.398438     16.350000     17.601562     9.090000     3.671875     59.87s
FLOAT_6_E2     55.150000     45.750000     17.110000     32.695312     9.030000     12.421875     59.08s
FLOAT_6_E3     59.950000     60.242188     21.390000     46.164062     9.430000     5.398438     59.46s
FLOAT_6_E4     49.880000     42.109375     16.640000     33.492188     7.990000     13.421875     59.42s
FLOAT_7_E1     51.440000     40.609375     18.100000     27.156250     8.310000     5.179688     93.36s
FLOAT_7_E2     58.410000     51.781250     18.000000     38.726562     8.650000     11.023438     93.62s
FLOAT_7_E3     62.230000     63.609375     22.010000     52.578125     8.410000     9.304688     93.41s
FLOAT_7_E4     60.140000     60.039062     21.320000     47.117188     9.180000     5.515625     93.36s
FLOAT_7_E5     50.190000     40.851562     16.790000     33.117188     7.900000     13.320312     93.75s
FLOAT_8_E1     53.620000     43.718750     18.390000     27.906250     7.700000     4.421875     160.31s
FLOAT_8_E2     58.660000     53.625000     18.630000     41.554688     8.240000     9.382812     160.61s
FLOAT_8_E3     62.860000     65.023438     22.080000     54.062500     8.090000     7.796875     160.82s
FLOAT_8_E4     62.490000     63.890625     21.970000     52.562500     8.360000     9.320312     160.34s
FLOAT_8_E5     60.040000     59.601562     21.230000     46.687500     9.320000     5.539062     159.76s
FLOAT_8_E6     50.440000     41.312500     16.370000     33.617188     7.970000     13.515625     160.66s
